record_id,iceberg_id,latitude,longitude,previous_latitude,previous_longitude,wind_speed,wind_direction,ocean_current_speed,ocean_current_direction,sea_ice_concentration,wave_height,temperature,iceberg_size,iceberg_mass_proxy,previous_drift_speed,previous_heading,drift_speed,drift_heading
REC-2000,IB-035,-63.258,-60.1704,-63.2832,-60.1785,33.3,231.9,0.76,217.4,86.1,3.1,-1.9,2.26,231.2,0.56,171.5,0.53,212.6
REC-2001,IB-027,-63.6716,-54.3494,-63.7053,-54.3494,20.0,350.7,0.73,310.7,24.4,3.2,-3.9,0.29,25.3,0.41,265.6,0.6,299.5
REC-2002,IB-095,-63.6328,-60.8146,-63.6641,-60.7861,19.8,25.1,0.71,296.1,84.6,1.6,-0.8,3.72,331.1,0.53,50.0,0.33,184.2
REC-2003,IB-047,-62.0439,-56.5636,-62.0919,-56.5537,6.8,199.7,0.51,62.4,55.3,4.1,1.6,3.75,450.6,0.35,158.4,0.24,103.5
REC-2004,IB-090,-64.1069,-60.2009,-64.1178,-60.2308,19.0,269.2,0.96,174.9,79.6,4.8,-6.9,3.59,302.5,0.46,173.8,0.39,185.9
REC-2005,IB-096,-62.4326,-58.549,-62.4635,-58.54,42.2,291.7,0.38,42.1,69.2,4.9,-13.9,1.42,116.7,0.67,76.4,0.6,99.2
REC-2006,IB-097,-62.7174,-56.2467,-62.7262,-56.2559,20.2,149.0,1.13,245.6,67.7,3.8,-14.2,3.8,494.0,0.79,41.6,0.54,188.4
REC-2007,IB-059,-62.7276,-57.4934,-62.6841,-57.4964,38.3,73.5,1.08,342.0,34.2,3.3,-10.0,2.53,266.4,0.76,301.1,0.85,281.9
REC-2008,IB-017,-62.348,-58.58,-62.3549,-58.6272,38.7,15.2,0.47,49.4,26.1,0.8,0.9,1.81,160.7,0.76,180.9,0.71,70.7
REC-2009,IB-050,-62.8065,-59.3893,-62.7687,-59.4183,19.9,208.7,0.9,264.2,24.0,2.1,-6.1,2.89,282.5,0.41,5.2,0.57,214.7
REC-2010,IB-015,-61.483,-55.2827,-61.4724,-55.3046,30.3,163.0,0.73,227.6,82.1,1.0,-10.4,0.25,31.2,0.45,289.1,0.54,230.4
REC-2011,IB-078,-62.2977,-60.8495,-62.323,-60.8282,8.8,341.5,0.47,210.1,78.8,5.8,-8.2,0.81,80.4,0.61,353.1,0.24,271.3
REC-2012,IB-053,-62.8121,-58.5592,-62.8265,-58.6081,9.1,21.8,1.19,140.4,44.7,1.2,-4.8,3.39,388.5,0.75,218.1,0.56,128.9
REC-2013,IB-073,-61.6809,-54.7699,-61.7225,-54.779,6.9,246.7,0.13,127.8,16.9,1.3,-3.9,1.25,110.6,0.24,181.3,0.21,169.8
REC-2014,IB-038,-62.5754,-55.2332,-62.5921,-55.1908,28.2,9.0,0.38,16.3,39.4,5.4,-12.4,2.77,335.6,0.35,316.2,0.43,71.1
REC-2015,IB-037,-63.8354,-58.7925,-63.8176,-58.8313,22.0,61.7,0.67,78.4,60.7,5.7,1.6,1.86,190.0,0.24,342.9,0.43,131.3
