observation_id,iceberg_id,sar_backscatter_mean,sar_backscatter_std,texture_contrast,texture_homogeneity,object_area_km2,ice_edge_distance_km,wind_speed_knots,wind_direction_deg,ocean_current_speed_ms,ocean_current_direction_deg,wave_height_m,sea_ice_concentration,temperature_c,confidence_percent,drift_speed_ms,drift_heading_deg,hazard_class
OBS-1000,IB-061,-18.23,3.52,0.461,0.2,1.58,23.4,42.6,8.0,0.58,9.2,1.9,40.0,-4.8,66.0,0.88,6.3,HIGH
OBS-1001,IB-024,-17.01,3.94,0.87,0.125,0.71,70.8,37.0,116.5,0.9,122.8,2.5,35.2,-2.5,86.0,0.96,136.9,MODERATE
OBS-1002,IB-081,-11.34,4.32,0.195,0.153,0.32,51.7,44.9,175.9,0.64,136.9,1.0,39.7,2.0,90.0,0.9,154.2,MODERATE
OBS-1003,IB-070,-13.68,5.4,0.519,0.442,2.47,107.3,19.0,277.3,1.06,143.6,5.7,75.8,0.9,72.0,0.86,180.8,HIGH
OBS-1004,IB-030,-17.12,3.42,0.11,0.225,1.55,98.5,35.7,246.0,1.09,208.9,3.5,66.2,-4.1,93.0,0.89,227.0,HIGH
OBS-1005,IB-092,-12.95,2.59,0.498,0.36,1.24,42.3,21.1,160.5,0.56,192.1,2.2,25.7,-7.8,94.0,0.6,179.3,MODERATE
OBS-1006,IB-096,-14.61,4.62,0.148,0.478,3.46,32.6,24.2,98.5,0.4,218.8,2.7,24.8,-4.2,71.0,0.48,194.4,HIGH
OBS-1007,IB-084,-11.13,2.36,0.201,0.637,2.43,46.8,30.1,359.0,0.75,275.4,3.0,18.4,-1.6,97.0,0.68,304.2,HIGH
OBS-1008,IB-084,-17.81,3.09,0.2,0.083,0.35,71.7,39.9,153.4,1.1,292.7,3.8,66.1,-13.0,65.0,1.11,249.8,HIGH
OBS-1009,IB-097,-16.31,1.54,0.652,0.729,0.66,33.6,44.4,162.5,0.33,258.5,3.3,75.0,-8.0,68.0,0.78,234.2,HIGH
OBS-1010,IB-033,-16.57,1.31,0.734,0.584,0.53,75.6,35.7,58.9,0.79,344.0,5.6,32.5,-0.7,67.0,0.86,242.8,MODERATE
OBS-1011,IB-012,-20.85,5.34,0.596,0.119,2.14,50.3,21.7,286.1,0.79,6.6,3.2,11.8,-8.5,94.0,0.74,79.2,HIGH
OBS-1012,IB-031,-13.82,4.79,0.918,0.793,0.15000000000000002,67.1,21.9,249.7,0.91,70.5,6.0,17.0,-5.3,85.0,0.84,112.3,MODERATE
