sample_id,iceberg_distance_km,iceberg_speed_ms,iceberg_confidence,sea_ice_concentration,wind_speed,visibility_km,wave_height,ocean_current_speed,vessel_draft,vessel_speed,ice_capability_score,submerged_hazard_distance,risk_score,risk_category
SMP-3000,13.5,0.92,72.0,83.8,19.4,11.4,3.6,0.65,6.5,11.9,0.6,25.1,59.3,HIGH
SMP-3001,23.9,0.11,83.0,29.4,30.2,19.6,0.6,0.17,8.8,15.9,0.4,22.7,34.2,LOW
SMP-3002,16.6,0.81,66.0,5.3,33.6,15.6,4.8,1.11,10.2,10.8,0.8,14.6,39.9,MODERATE
SMP-3003,47.6,0.3,62.0,19.6,22.2,2.6,2.5,0.78,9.4,14.5,0.4,3.5,30.8,LOW
SMP-3004,41.3,0.36,81.0,36.5,17.3,15.7,2.7,0.31,8.3,16.7,0.6,3.6,24.0,LOW
SMP-3005,35.6,0.8,51.0,33.4,43.5,3.8,5.0,0.77,11.7,8.4,0.8,24.1,30.8,LOW
SMP-3006,29.6,1.19,85.0,76.2,43.6,9.2,2.6,0.85,9.7,16.3,1.0,16.0,39.3,MODERATE
SMP-3007,41.1,0.96,75.0,66.3,16.6,4.6,0.8,0.68,11.4,13.7,0.6,14.6,38.7,MODERATE
SMP-3008,19.9,0.35,80.0,32.0,24.2,13.9,1.5,0.89,10.1,14.1,0.6,20.5,36.1,MODERATE
SMP-3009,22.7,0.29,81.0,46.2,43.9,17.6,5.8,0.74,10.1,13.2,0.8,25.8,43.7,MODERATE
SMP-3010,36.6,1.05,76.0,13.6,5.2,6.2,0.9,1.14,5.6,16.7,0.6,18.9,17.9,LOW
SMP-3011,18.2,0.59,79.0,85.8,21.5,2.1,2.5,0.16,7.5,8.4,0.6,22.9,57.4,HIGH
SMP-3012,3.7,0.25,84.0,89.2,9.0,6.3,3.3,0.22,11.0,10.6,0.6,23.0,79.6,CRITICAL
SMP-3013,4.2,1.05,87.0,93.2,25.4,13.6,3.2,0.29,6.6,16.8,0.6,10.8,65.8,HIGH
SMP-3014,6.2,1.0,86.0,83.2,6.0,6.9,0.5,0.86,5.8,15.5,0.6,8.4,58.8,HIGH
SMP-3015,43.5,1.18,93.0,20.7,21.3,5.9,3.3,0.81,7.3,8.2,0.6,24.1,18.2,LOW
SMP-3016,23.9,1.1,59.0,9.2,13.8,4.1,2.6,1.08,6.5,13.2,0.6,11.4,35.1,MODERATE
SMP-3017,35.8,1.04,70.0,57.2,26.3,10.2,5.8,0.91,11.5,13.3,0.6,27.1,37.0,MODERATE
SMP-3018,19.9,0.16,96.0,87.1,44.8,5.9,1.4,0.66,11.1,12.0,1.0,2.3,48.5,MODERATE
SMP-3019,13.3,0.21,69.0,21.0,37.0,14.8,2.4,1.19,8.5,11.0,0.6,1.9,43.8,MODERATE
SMP-3020,17.7,0.73,56.0,5.6,38.8,2.0,2.8,0.39,5.4,14.8,1.0,27.8,31.9,LOW
SMP-3021,39.8,0.68,76.0,77.5,30.4,13.4,2.6,1.02,10.0,10.1,1.0,19.5,30.8,LOW
SMP-3022,31.4,0.6,55.0,11.9,6.7,5.1,4.2,0.57,9.4,16.0,0.4,11.5,29.8,LOW
SMP-3023,46.9,0.54,60.0,42.2,13.3,10.0,1.7,0.81,11.8,16.0,0.4,22.7,35.5,MODERATE
SMP-3024,34.1,0.57,99.0,66.1,42.0,6.1,1.7,0.9,8.9,12.2,1.0,20.2,32.7,LOW
SMP-3025,28.7,0.73,77.0,26.3,19.6,14.6,4.5,0.8,7.4,10.8,1.0,16.0,25.1,LOW
SMP-3026,30.7,0.1,64.0,12.6,9.1,18.9,3.3,0.25,8.6,10.8,0.6,3.1,20.0,LOW
SMP-3027,47.1,0.39,99.0,74.3,33.1,18.4,2.8,0.59,11.9,12.8,0.4,24.4,39.2,MODERATE
SMP-3028,39.5,0.67,97.0,61.7,17.0,11.9,1.4,0.72,9.9,15.2,0.8,26.0,24.2,LOW
SMP-3029,1.7,0.89,72.0,94.0,15.8,9.5,1.5,1.03,9.7,11.6,0.4,5.3,76.3,CRITICAL
SMP-3030,26.9,0.29,63.0,36.0,44.9,16.5,0.6,0.59,6.7,14.1,1.0,25.5,28.0,LOW
SMP-3031,34.6,0.7,91.0,10.6,39.3,13.8,1.0,1.11,10.2,11.8,1.0,26.4,14.4,LOW
SMP-3032,37.6,0.89,85.0,71.1,21.3,4.1,3.6,0.58,10.3,11.0,0.6,16.6,36.0,MODERATE
SMP-3033,11.1,0.59,84.0,52.0,44.2,16.5,5.4,0.7,7.2,8.2,0.6,19.8,58.3,HIGH
SMP-3034,43.4,0.13,94.0,24.2,31.0,8.9,2.1,0.98,8.4,8.0,0.4,11.6,31.9,LOW
SMP-3035,47.8,0.59,84.0,75.4,34.7,4.2,2.3,0.74,7.1,10.3,0.6,8.6,38.6,MODERATE
SMP-3036,12.2,0.43,64.0,23.3,6.3,6.0,1.1,1.16,6.8,12.1,0.8,21.7,38.5,MODERATE
SMP-3037,44.2,1.12,84.0,28.5,9.9,5.7,2.6,0.83,5.2,16.5,0.8,25.9,19.6,LOW
SMP-3038,5.3,0.24,65.0,13.3,30.3,10.6,0.7,0.67,7.0,16.0,0.6,19.7,45.7,MODERATE
SMP-3039,3.3,0.82,87.0,40.9,41.0,5.1,5.5,0.13,8.9,10.7,0.8,15.4,62.1,HIGH
SMP-3040,6.9,0.16,80.0,42.7,29.9,2.9,4.2,0.56,5.0,10.4,0.8,4.9,58.0,HIGH
SMP-3041,3.4,0.59,54.0,51.3,10.4,2.9,5.9,0.43,7.0,10.3,0.4,1.8,70.0,HIGH
SMP-3042,42.3,0.71,75.0,68.8,9.6,11.9,5.4,0.92,11.2,11.4,0.8,13.5,34.4,LOW
SMP-3043,3.4,0.43,67.0,86.5,38.8,14.8,3.1,0.33,9.2,13.0,1.0,1.7,62.3,HIGH
SMP-3044,13.9,0.6,66.0,17.4,10.6,6.8,3.4,0.33,9.3,12.4,1.0,17.2,39.2,MODERATE
SMP-3045,5.6,0.28,80.0,9.9,25.8,1.2,1.5,0.31,7.8,10.2,0.4,11.6,59.2,HIGH
SMP-3046,15.1,0.43,66.0,6.7,6.5,3.0,3.0,0.24,9.7,9.3,0.6,22.8,40.6,MODERATE
SMP-3047,5.0,0.78,88.0,17.9,8.2,18.3,5.5,0.44,6.3,8.1,0.4,9.3,50.3,MODERATE
SMP-3048,33.6,0.43,53.0,64.2,31.9,10.1,0.8,1.07,10.7,9.5,0.6,17.9,34.9,LOW
SMP-3049,7.1,1.09,82.0,70.5,32.6,9.3,5.2,0.95,5.8,15.1,0.6,16.2,66.7,HIGH
SMP-3050,42.7,0.79,90.0,75.8,18.7,1.2,2.4,0.91,9.6,10.4,0.6,0.3,38.6,MODERATE
SMP-3051,41.0,0.58,83.0,26.9,13.6,14.7,5.4,0.98,7.4,12.7,0.6,2.4,26.5,LOW
SMP-3052,1.2,0.14,74.0,32.5,37.5,10.8,5.7,0.4,10.2,13.9,0.6,8.9,65.4,HIGH
SMP-3053,44.8,0.65,97.0,48.5,13.7,4.4,4.2,1.08,8.8,16.9,0.4,26.5,36.6,MODERATE
SMP-3054,1.9,0.94,65.0,10.7,26.7,2.6,4.2,0.25,8.2,16.9,0.6,4.6,58.3,HIGH
SMP-3055,12.4,0.39,51.0,60.0,43.7,8.0,3.0,0.47,6.2,15.5,0.8,21.4,59.4,HIGH
SMP-3056,2.1,0.99,71.0,93.5,10.9,16.8,5.1,0.75,9.5,8.4,0.8,29.2,72.0,HIGH
SMP-3057,17.1,0.38,52.0,37.5,42.6,17.4,5.8,0.21,11.8,13.8,0.6,23.8,56.2,HIGH
SMP-3058,25.9,1.01,97.0,72.8,12.3,12.3,4.8,0.9,10.8,15.9,0.8,7.4,44.5,MODERATE
SMP-3059,39.9,0.19,60.0,50.0,27.7,14.7,3.9,0.53,5.4,8.2,1.0,27.3,24.1,LOW
SMP-3060,17.2,1.05,89.0,16.5,20.1,2.7,3.8,0.96,7.6,13.5,0.4,3.0,44.9,MODERATE
SMP-3061,35.4,0.65,88.0,57.4,43.6,12.0,5.2,0.64,11.5,16.6,0.4,14.2,42.7,MODERATE
SMP-3062,9.8,0.43,61.0,32.0,15.9,13.5,3.5,0.3,8.5,12.7,0.6,26.6,51.4,MODERATE
SMP-3063,37.7,0.39,80.0,8.1,21.0,4.4,4.9,0.91,9.6,8.0,0.6,19.3,23.7,LOW
SMP-3064,12.2,0.58,52.0,62.1,44.3,17.7,3.3,0.38,11.4,8.1,1.0,12.5,53.4,MODERATE
SMP-3065,7.6,1.2,74.0,82.3,26.5,4.3,0.8,0.64,11.1,12.2,0.6,8.9,71.3,HIGH
SMP-3066,9.7,0.34,51.0,36.0,25.1,6.6,2.6,0.18,8.5,9.6,0.8,11.4,55.0,HIGH
