record_id,latitude,longitude,date_index,sea_ice_concentration,temperature,wind_speed,wind_direction,ocean_current_speed,wave_height,ice_drift_speed,ice_edge_distance
ICE-4000,-62.2165,-54.841,20,82.5,-8.2,30.9,156.8,1.06,1.3,1.25,68.4
ICE-4001,-64.3417,-61.8064,8,55.9,-4.2,33.5,149.3,0.31,2.7,0.86,64.2
ICE-4002,-61.9853,-59.2112,10,19.2,-13.1,12.1,263.8,0.21,2.5,0.37,24.4
ICE-4003,-61.1276,-56.2256,5,67.2,-11.7,8.2,246.9,1.09,4.2,0.82,64.5
ICE-4004,-61.8818,-61.3593,9,51.2,-11.5,42.6,300.0,0.48,3.4,1.14,81.1
ICE-4005,-64.9102,-60.5346,25,63.6,-17.5,15.4,90.0,0.71,2.4,0.73,4.4
ICE-4006,-62.6005,-57.2857,25,85.1,-11.3,39.1,219.4,0.5,1.4,1.08,67.2
ICE-4007,-62.2184,-57.5201,1,44.6,-2.3,39.5,210.7,0.24,1.6,0.93,117.4
ICE-4008,-61.6982,-56.0886,2,86.1,-0.5,35.9,133.1,0.75,3.4,1.17,102.3
ICE-4009,-64.776,-55.4991,19,72.6,-7.9,11.8,175.0,0.68,2.6,0.64,95.6
ICE-4010,-63.0796,-60.9714,14,49.0,-9.1,37.9,113.0,0.32,3.1,0.95,136.5
ICE-4011,-62.8585,-61.853,20,59.3,-17.4,35.8,51.1,0.6,1.4,1.08,3.7
ICE-4012,-64.3235,-56.4829,10,34.3,-0.9,28.9,77.0,0.98,3.8,1.17,84.0
ICE-4013,-63.7102,-59.5889,9,93.5,-17.7,18.5,38.0,0.75,4.8,0.82,118.3
ICE-4014,-63.2391,-56.9921,10,65.1,0.4,15.5,245.9,0.21,1.8,0.44,81.7
ICE-4015,-61.6672,-60.7956,29,8.9,-8.5,9.9,237.9,0.7,3.0,0.62,49.3
ICE-4016,-61.2824,-58.2477,6,34.4,-11.3,25.4,342.2,0.87,5.4,1.03,21.3
ICE-4017,-62.4863,-57.9646,17,61.1,0.0,28.4,262.7,0.97,2.2,1.15,133.2
ICE-4018,-63.4202,-57.3194,28,10.1,-17.5,19.4,18.7,0.79,3.5,0.86,71.1
ICE-4019,-63.9839,-57.8946,25,7.1,-6.7,24.0,318.3,0.27,1.0,0.64,131.8
ICE-4020,-61.0715,-58.0345,6,45.5,-7.3,19.5,310.6,0.88,3.5,0.92,88.3
ICE-4021,-61.0679,-59.3381,4,34.9,-13.7,30.6,159.6,0.85,0.9,1.12,101.5
ICE-4022,-61.3001,-61.4306,20,44.4,-9.6,41.1,210.9,0.13,5.3,0.9,120.8
ICE-4023,-61.8573,-61.2838,3,28.6,-5.3,11.6,351.4,0.55,4.1,0.56,99.2
ICE-4024,-63.6969,-58.5298,23,19.8,-3.8,20.3,191.6,0.47,4.4,0.69,60.3
ICE-4025,-61.732,-59.1537,19,67.0,-18.0,10.6,325.9,0.84,4.0,0.72,77.5
ICE-4026,-63.3648,-57.8709,18,51.3,0.3,30.0,29.9,0.34,3.4,0.8,120.7
ICE-4027,-63.6929,-59.5613,26,23.0,-14.8,34.2,68.8,0.75,2.7,1.13,56.7
ICE-4028,-62.0205,-56.4967,24,33.8,-13.4,42.3,158.7,1.1,4.8,1.51,58.8
ICE-4029,-64.6814,-55.0884,4,58.3,-12.9,16.2,210.5,0.98,5.3,0.91,15.3
ICE-4030,-64.8057,-59.6091,8,11.5,-17.3,43.0,293.8,1.11,3.0,1.53,137.3
ICE-4031,-63.2082,-60.4561,17,18.3,-15.6,7.5,355.8,1.18,5.2,0.86,14.6
ICE-4032,-63.2174,-61.0706,5,11.6,1.2,29.1,140.0,0.11,3.4,0.65,97.6
ICE-4033,-61.4174,-57.07,13,78.1,-11.9,7.3,17.1,0.79,3.2,0.62,62.6
ICE-4034,-64.4954,-58.4492,25,72.7,-15.8,40.8,288.4,0.55,2.8,1.15,61.4
ICE-4035,-64.5069,-60.4959,1,72.8,-15.9,26.2,217.6,1.05,1.5,1.15,102.3
ICE-4036,-64.4102,-56.7749,27,69.5,-4.0,31.8,71.5,0.38,0.5,0.86,11.0
ICE-4037,-64.8811,-60.8121,13,65.2,-1.3,38.3,178.1,1.18,1.7,1.47,89.5
ICE-4038,-64.7131,-57.5656,4,47.9,-13.0,11.0,267.2,0.78,3.0,0.69,116.0
ICE-4039,-62.3605,-57.7828,22,62.8,-17.6,6.5,277.3,0.97,2.4,0.71,124.4
ICE-4040,-63.2737,-56.1262,26,8.5,-13.6,40.2,179.9,0.19,2.7,0.92,26.4
ICE-4041,-61.9456,-61.5591,24,60.9,-16.9,17.6,109.9,0.3,5.4,0.53,134.7
ICE-4042,-61.0296,-54.897,14,75.0,-16.0,10.2,350.5,0.93,2.3,0.76,98.8
ICE-4043,-62.3639,-56.3761,3,50.0,-9.6,23.7,238.8,0.12,2.8,0.55,132.4
ICE-4044,-64.7982,-60.271,5,37.2,-13.5,28.9,147.0,1.0,1.2,1.18,73.3
ICE-4045,-64.5817,-60.5328,7,30.0,-7.9,6.2,101.0,0.12,0.7,0.2,81.8
ICE-4046,-61.476,-58.5467,1,62.9,-13.1,16.0,263.2,0.82,4.4,0.81,137.9
ICE-4047,-62.89,-55.4595,23,67.4,0.3,6.3,87.2,0.5,3.4,0.43,135.1
ICE-4048,-61.7007,-55.2564,29,83.4,-0.3,21.8,61.8,0.77,4.3,0.9,67.8
ICE-4049,-61.5736,-57.8364,12,35.8,-6.9,40.8,190.7,0.87,1.2,1.34,41.9
ICE-4050,-61.2893,-55.1135,11,74.3,-11.1,44.3,104.4,0.48,3.4,1.17,59.6
ICE-4051,-61.2007,-61.9565,24,55.5,-10.6,30.5,226.4,0.22,1.8,0.74,58.8
ICE-4052,-62.7807,-61.7186,8,84.5,-10.0,11.5,42.5,0.18,1.6,0.34,43.7
ICE-4053,-63.6359,-54.7054,25,52.5,-3.8,41.2,235.8,0.75,0.6,1.27,41.0
ICE-4054,-61.1525,-55.7973,6,51.6,-9.2,25.6,102.0,0.67,1.2,0.91,129.3
ICE-4055,-62.8104,-58.3944,28,57.0,-1.3,11.1,0.1,0.92,2.0,0.77,11.4
ICE-4056,-64.743,-55.9711,22,72.4,0.4,41.9,45.7,0.66,1.1,1.23,102.0
ICE-4057,-62.4289,-54.3549,2,91.8,-11.4,35.3,336.1,0.56,5.4,1.04,26.8
ICE-4058,-62.6493,-55.8233,19,11.6,-7.1,34.3,312.2,0.54,2.0,1.01,52.3
ICE-4059,-61.4168,-55.261,20,9.8,-16.1,33.4,84.1,0.13,1.2,0.75,10.2
ICE-4060,-62.3873,-55.9151,20,89.4,-14.1,13.0,280.2,0.47,1.5,0.54,41.2
ICE-4061,-63.6038,-60.6543,24,52.7,-9.9,13.4,219.1,1.17,3.4,0.97,115.5
ICE-4062,-61.1351,-55.3314,14,60.3,-14.0,32.5,349.5,1.06,0.8,1.29,132.9
ICE-4063,-61.7935,-60.4391,1,48.4,-0.9,13.8,134.5,0.46,4.8,0.55,34.0
ICE-4064,-62.4783,-54.8591,10,13.4,-14.9,22.5,245.3,0.75,5.3,0.9,70.1
ICE-4065,-63.8283,-58.3308,16,74.1,-9.1,36.3,22.9,1.03,1.7,1.34,71.1
ICE-4066,-63.5058,-56.5842,4,72.3,-6.2,36.4,142.6,0.59,2.8,1.08,131.2
ICE-4067,-62.3201,-58.0221,27,33.1,-4.5,23.1,347.0,0.12,0.6,0.53,114.7
ICE-4068,-64.7121,-61.2481,28,32.6,-10.5,36.7,194.0,0.18,3.7,0.84,77.4
ICE-4069,-63.9733,-59.6742,29,80.4,-1.1,38.5,103.6,0.66,2.6,1.17,100.9
ICE-4070,-62.1444,-54.1301,11,11.5,-6.9,31.2,43.3,1.17,1.9,1.33,127.3
ICE-4071,-63.0799,-54.3143,16,84.3,-9.4,14.1,253.3,0.86,1.5,0.8,2.4
ICE-4072,-63.3904,-59.4361,27,28.1,-16.7,16.0,232.1,0.18,3.8,0.43,61.0
ICE-4073,-64.3942,-54.0296,20,58.4,-8.9,17.6,134.6,0.31,2.6,0.54,136.2
ICE-4074,-63.2326,-55.2356,1,89.2,-2.0,9.7,342.3,0.95,1.4,0.76,111.3
ICE-4075,-61.9172,-57.1123,16,66.0,-6.0,15.9,8.0,1.03,3.9,0.94,81.9
ICE-4076,-63.9439,-61.679,19,42.3,-1.8,13.4,109.3,0.78,3.3,0.74,79.9
ICE-4077,-64.9784,-54.7884,21,67.1,-8.4,23.2,331.6,0.81,4.8,0.95,52.8
ICE-4078,-62.326,-57.5406,22,36.0,-15.7,41.3,115.5,0.13,1.1,0.9,78.6
ICE-4079,-61.1095,-55.0522,9,30.0,-17.7,9.2,90.8,1.01,4.4,0.79,98.7
ICE-4080,-62.5727,-55.3246,9,94.7,-12.1,33.8,192.3,0.97,3.9,1.26,63.3
ICE-4081,-64.5203,-55.336,9,72.6,-4.4,32.5,296.6,0.38,1.1,0.88,107.4
ICE-4082,-63.7171,-56.4146,27,63.0,-2.6,8.8,37.1,0.88,4.0,0.7,129.3
